item_id,count,pick_rate,spread,wins,win_rate,tags,name,full_item,total_gold,count_unmasked,wr_unmasked,wr_std_unmasked
2301,9,0.0009729729729729727,6,4.0,0.4444444444444444,,,,,9.0,0.4444444444444444,0.16563466499998442
2302,9,0.0009729729729729727,5,6.0,0.6666666666666666,,,,,9.0,0.6666666666666666,0.15713484026367724
2303,8,0.0008648648648648649,6,5.0,0.625,,,,,6.0,0.6666666666666666,0.19245008972987526
2403,18,0.0019459459459459454,14,8.0,0.4444444444444444,[],Minion Dematerializer,True,0.0,16.0,0.4375,0.12401959270615269
2419,8,0.0008648648648648649,7,4.0,0.5,[Active],Commencing Stopwatch,False,0.0,6.0,0.5,0.2041241452319315
2420,154,0.016648648648648647,77,95.0,0.6168831168831169,[Active],Stopwatch,False,600.0,142.0,0.6267605633802817,0.04058825886319676
2421,187,0.020216216216216217,82,98.0,0.5240641711229946,[],Broken Stopwatch,False,600.0,161.0,0.5279503105590062,0.039343903387776324
2422,70,0.007567567567567566,42,23.0,0.32857142857142857,[Boots],Slightly Magical Boots,False,300.0,60.0,0.3,0.05916079783099616
2423,31,0.0033513513513513515,21,13.0,0.41935483870967744,[Active],Stopwatch,False,600.0,29.0,0.41379310344827586,0.09145723911072252
2424,155,0.016756756756756756,61,60.0,0.3870967741935484,[],Broken Stopwatch,False,600.0,131.0,0.366412213740458,0.042097152572042856
3001,129,0.013945945945945946,35,68.0,0.5271317829457365,"[Health, SpellBlock, HealthRegen, Mana, ManaRegen, Aura, CooldownReduction, MagicPenetration]",Abyssal Mask,True,3000.0,111.0,0.5315315315315315,0.04736343693009741
3003,39,0.004216216216216216,15,19.0,0.4871794871794872,"[SpellDamage, Mana, ManaRegen, CooldownReduction]",Archangel's Staff,True,3200.0,39.0,0.48717948717948717,0.0800377530231858
3004,13,0.0014054054054054054,3,4.0,0.3076923076923077,"[Damage, Mana, ManaRegen, OnHit]",Manamune,True,2400.0,13.0,0.3076923076923077,0.1280077375904375
3006,1506,0.1628108108108108,39,786.0,0.5219123505976095,"[AttackSpeed, Boots]",Berserker's Greaves,True,1100.0,562.0,0.5587188612099644,0.020945280995380646
3009,297,0.03210810810810811,58,153.0,0.5151515151515151,[Boots],Boots of Swiftness,True,900.0,245.0,0.5183673469387755,0.03192226787033514
3010,32,0.0034594594594594594,17,16.0,0.5,"[Health, HealthRegen, Mana, ManaRegen]",Catalyst of Aeons,False,1100.0,32.0,0.5,0.08838834764831845
3020,1621,0.17524324324324325,68,884.0,0.5453423812461443,"[Boots, MagicPenetration]",Sorcerer's Shoes,True,1100.0,653.0,0.6125574272588055,0.01906428335393706
3022,92,0.009945945945945946,23,48.0,0.5217391304347826,"[Damage, Health, OnHit, Slow]",Frozen Mallet,True,3100.0,84.0,0.5238095238095238,0.054492584311555174
3024,165,0.01783783783783784,42,90.0,0.5454545454545454,"[Armor, CooldownReduction, Mana]",Glacial Shroud,False,900.0,159.0,0.5471698113207547,0.03947573165006511
3025,267,0.02886486486486486,33,137.0,0.5131086142322098,"[Armor, Mana, CooldownReduction, Slow]",Iceborn Gauntlet,True,2700.0,237.0,0.5147679324894515,0.03246432044542235
3026,503,0.054378378378378375,60,307.0,0.6103379721669979,"[Armor, Damage]",Guardian Angel,True,2800.0,311.0,0.6784565916398714,0.026485040666394667
3027,329,0.03556756756756757,35,169.0,0.513677811550152,"[Health, HealthRegen, Mana, ManaRegen, SpellDamage]",Rod of Ages,True,2700.0,285.0,0.5157894736842106,0.029602672503865973
3028,23,0.0024864864864864865,10,12.0,0.5217391304347826,"[SpellBlock, HealthRegen, ManaRegen]",Chalice of Harmony,False,800.0,23.0,0.5217391304347826,0.10415861863104658
3030,50,0.005405405405405407,18,22.0,0.44,"[SpellDamage, Mana, Active, CooldownReduction, Slow]",Hextech GLP-800,True,2800.0,48.0,0.4375,0.071602745233685
3031,697,0.07535135135135135,25,412.0,0.5911047345767575,"[CriticalStrike, Damage]",Infinity Edge,True,3400.0,413.0,0.6537530266343826,0.02341126189544181
3033,77,0.008324324324324324,32,44.0,0.5714285714285714,"[ArmorPenetration, Damage]",Mortal Reminder,True,2800.0,69.0,0.5797101449275363,0.05942310739678889
3034,1,0.00010810810810810812,1,0.0,0.0,,,,,1.0,0.0,0.0
3035,94,0.010162162162162165,30,40.0,0.425531914893617,"[ArmorPenetration, Damage]",Last Whisper,False,1300.0,86.0,0.4186046511627907,0.05319717569742023
3036,136,0.014702702702702703,29,81.0,0.5955882352941176,"[Damage, ArmorPenetration]",Lord Dominik's Regards,True,2800.0,112.0,0.6160714285714286,0.04595489087423003
3040,188,0.02032432432432433,21,102.0,0.5425531914893617,[Active],Seraph's Embrace,True,3200.0,166.0,0.5481927710843374,0.03862684134615202
3041,123,0.013297297297297296,45,98.0,0.7967479674796748,"[SpellDamage, Mana]",Mejai's Soulstealer,True,1400.0,119.0,0.8067226890756303,0.03619754297876141
3042,151,0.016324324324324326,4,67.0,0.4437086092715232,[OnHit],Muramana,True,2400.0,151.0,0.44370860927152317,0.040430733779793594
3044,200,0.021621621621621626,45,78.0,0.39,"[Damage, Health, NonbootsMovement, OnHit]",Phage,False,1250.0,172.0,0.37209302325581395,0.036856084450840064
3046,407,0.044000000000000004,27,214.0,0.5257985257985258,"[AttackSpeed, CriticalStrike, NonbootsMovement]",Phantom Dancer,True,2700.0,327.0,0.5321100917431193,0.027592986633204628
3047,1957,0.2115675675675676,127,959.0,0.4900357690342361,"[Armor, Boots]",Ninja Tabi,True,1100.0,873.0,0.47766323024054985,0.016905541386551606
3050,140,0.015135135135135137,19,93.0,0.6642857142857143,"[SpellBlock, Armor, Mana, Aura, Active, CooldownReduction]",Zeke's Convergence,True,2250.0,118.0,0.6949152542372882,0.04238724261082886
3052,241,0.026054054054054053,47,117.0,0.4854771784232365,"[Health, Damage]",Jaurim's Fist,False,1200.0,209.0,0.48325358851674644,0.03456631915071185
3053,399,0.04313513513513514,41,241.0,0.6040100250626567,"[Health, Damage]",Sterak's Gage,True,3200.0,293.0,0.6416382252559727,0.028013807733109745
3056,4,0.00043243243243243243,4,2.0,0.5,"[Active, Armor, CooldownReduction, Health, HealthRegen, NonbootsMovement]",Ohmwrecker,True,2650.0,4.0,0.5,0.25
